# Relative humidity    Pore radius          Gas saturation       Surface of gas pores
  9.999000e-01         1.074526e-05         2.000792e-01         3.724044e+04       
  9.901030e-01         1.092735e-07         2.098581e-01         4.084407e+04       
  9.803061e-01         5.513965e-08         2.199335e-01         2.859681e+05       
  9.705091e-01         3.693875e-08         2.301796e-01         7.310737e+05       
  9.607121e-01         2.779824e-08         2.405748e-01         1.373374e+06       
  9.509152e-01         2.229622e-08         2.511076e-01         2.214408e+06       
  9.411182e-01         1.861813e-08         2.617703e-01         3.256848e+06       
  9.313212e-01         1.598433e-08         2.725570e-01         4.503777e+06       
  9.215242e-01         1.400427e-08         2.834629e-01         5.958454e+06       
  9.117273e-01         1.246064e-08         2.944840e-01         7.624222e+06       
  9.019303e-01         1.122292e-08         3.056167e-01         9.504470e+06       
  8.921333e-01         1.020794e-08         3.104239e-01         1.040172e+07       
  8.823364e-01         9.360188e-09         3.136888e-01         1.106910e+07       
  8.725394e-01         8.641220e-09         3.169937e-01         1.180345e+07       
  8.627424e-01         8.023539e-09         3.203364e-01         1.260582e+07       
  8.529455e-01         7.486965e-09         3.237155e-01         1.347723e+07       
  8.431485e-01         7.016352e-09         3.271292e-01         1.441873e+07       
  8.333515e-01         6.600109e-09         3.305763e-01         1.543136e+07       
  8.235545e-01         6.229215e-09         3.340557e-01         1.651618e+07       
  8.137576e-01         5.896540e-09         3.375662e-01         1.767423e+07       
  8.039606e-01         5.596379e-09         3.411070e-01         1.890658e+07       
  7.941636e-01         5.324109e-09         3.442993e-01         2.007584e+07       
  7.843667e-01         5.075945e-09         3.472591e-01         2.121422e+07       
  7.745697e-01         4.848758e-09         3.502433e-01         2.241697e+07       
  7.647727e-01         4.639939e-09         3.532513e-01         2.368498e+07       
  7.549758e-01         4.447294e-09         3.562822e-01         2.501915e+07       
  7.451788e-01         4.268967e-09         3.593356e-01         2.642038e+07       
  7.353818e-01         4.103374e-09         3.624107e-01         2.788957e+07       
  7.255848e-01         3.949158e-09         3.655071e-01         2.942764e+07       
  7.157879e-01         3.805146e-09         3.702634e-01         3.188115e+07       
  7.059909e-01         3.670323e-09         3.772388e-01         3.561356e+07       
  6.961939e-01         3.543804e-09         3.842485e-01         3.950025e+07       
  6.863970e-01         3.424812e-09         3.912920e-01         4.354322e+07       
  6.766000e-01         3.312666e-09         3.983685e-01         4.774448e+07       
  6.668030e-01         3.206763e-09         4.054772e-01         5.210606e+07       
  6.570061e-01         3.106570e-09         4.126175e-01         5.662997e+07       
  6.472091e-01         3.011611e-09         4.197884e-01         6.131826e+07       
  6.374121e-01         2.921462e-09         4.269893e-01         6.617296e+07       
  6.276152e-01         2.835745e-09         4.342191e-01         7.119612e+07       
  6.178182e-01         2.754116e-09         4.414771e-01         7.638978e+07       
  6.080212e-01         2.676270e-09         4.487622e-01         8.175597e+07       
  5.982242e-01         2.601928e-09         4.560735e-01         8.729674e+07       
  5.884273e-01         2.530839e-09         4.634100e-01         9.301412e+07       
  5.786303e-01         2.462773e-09         4.707706e-01         9.891014e+07       
  5.688333e-01         2.397524e-09         4.781542e-01         1.049868e+08       
  5.590364e-01         2.334902e-09         4.855597e-01         1.112461e+08       
  5.492394e-01         2.274732e-09         4.937605e-01         1.183624e+08       
  5.394424e-01         2.216856e-09         5.112564e-01         1.339434e+08       
  5.296455e-01         2.161128e-09         5.287832e-01         1.499570e+08       
  5.198485e-01         2.107412e-09         5.463384e-01         1.664078e+08       
  5.100515e-01         2.055585e-09         5.639193e-01         1.833004e+08       
  5.002545e-01         2.005533e-09         5.815230e-01         2.006391e+08       
  4.904576e-01         1.957149e-09         5.991464e-01         2.184284e+08       
  4.806606e-01         1.910335e-09         6.167861e-01         2.366726e+08       
  4.708636e-01         1.865000e-09         6.344388e-01         2.553757e+08       
  4.610667e-01         1.821057e-09         6.521006e-01         2.745418e+08       
  4.512697e-01         1.778429e-09         6.697674e-01         2.941744e+08       
  4.414727e-01         1.737040e-09         6.874351e-01         3.142772e+08       
  4.316758e-01         1.696821e-09         7.050990e-01         3.348534e+08       
  4.218788e-01         1.657707e-09         7.252342e-01         3.588629e+08       
  4.120818e-01         1.619637e-09         7.458685e-01         3.840471e+08       
  4.022848e-01         1.582553e-09         7.664799e-01         4.097937e+08       
  3.924879e-01         1.546401e-09         7.870615e-01         4.361049e+08       
  3.826909e-01         1.511129e-09         8.076062e-01         4.629824e+08       
  3.728939e-01         1.476689e-09         8.281061e-01         4.904270e+08       
  3.630970e-01         1.443033e-09         8.485528e-01         5.184389e+08       
  3.533000e-01         1.410119e-09         8.689373e-01         5.470171e+08       
  3.435030e-01         1.377903e-09         8.892498e-01         5.761596e+08       
  3.337061e-01         1.346345e-09         9.094798e-01         6.058632e+08       
  3.239091e-01         1.315406e-09         9.149430e-01         6.140732e+08       
  3.141121e-01         1.285048e-09         9.192065e-01         6.206312e+08       
  3.043152e-01         1.255236e-09         9.234155e-01         6.272589e+08       
  2.945182e-01         1.225933e-09         9.275633e-01         6.339457e+08       
  2.847212e-01         1.197105e-09         9.316424e-01         6.406796e+08       
  2.749242e-01         1.168719e-09         9.356450e-01         6.474470e+08       
  2.651273e-01         1.140739e-09         9.395623e-01         6.542318e+08       
  2.553303e-01         1.113133e-09         9.433849e-01         6.610158e+08       
  2.455333e-01         1.085867e-09         9.471024e-01         6.677779e+08       
  2.357364e-01         1.058908e-09         9.507033e-01         6.744936e+08       
  2.259394e-01         1.032220e-09         9.544996e-01         6.817554e+08       
  2.161424e-01         1.005768e-09         9.586115e-01         6.898259e+08       
  2.063455e-01         9.795151e-10         9.625572e-01         6.977757e+08       
  1.965485e-01         9.534233e-10         9.663183e-01         7.055590e+08       
  1.867515e-01         9.274514e-10         9.698744e-01         7.131215e+08       
  1.769545e-01         9.015555e-10         9.732020e-01         7.203990e+08       
  1.671576e-01         8.756878e-10         9.762748e-01         7.273148e+08       
  1.573606e-01         8.497957e-10         9.790622e-01         7.337766e+08       
  1.475636e-01         8.238203e-10         9.815293e-01         7.396731e+08       
  1.377667e-01         7.976947e-10         9.836353e-01         7.448681e+08       
  1.279697e-01         7.713414e-10         9.853320e-01         7.491936e+08       
  1.181727e-01         7.446693e-10         9.865624e-01         7.524402e+08       
