# Relative humidity    Average pressure     Interface energy   Adsorption energy  Shuttleworth term  Total pressure
  9.999000e-01        -1.083169e+04         0.000000e+00         0.000000e+00        -1.233900e+03        -1.206559e+04       
  9.901030e-01        -1.064125e+06        -4.434071e+03        -5.798579e+01        -1.353300e+03        -1.069971e+06       
  9.803061e-01        -2.100892e+06        -1.800219e+04        -2.254631e+02        -9.475076e+03        -2.128594e+06       
  9.705091e-01        -3.120247e+06        -4.104386e+04        -7.187363e+02        -2.422291e+04        -3.186232e+06       
  9.607121e-01        -4.121405e+06        -7.389331e+04        -1.694138e+03        -4.550447e+04        -4.242497e+06       
  9.509152e-01        -5.103611e+06        -1.168737e+05        -3.298203e+03        -7.337072e+04        -5.297154e+06       
  9.411182e-01        -6.066126e+06        -1.703009e+05        -5.673718e+03        -1.079102e+05        -6.350011e+06       
  9.313212e-01        -7.008219e+06        -2.344860e+05        -8.962075e+03        -1.492251e+05        -7.400892e+06       
  9.215242e-01        -7.929163e+06        -3.097369e+05        -1.330455e+04        -1.974234e+05        -8.449628e+06       
  9.117273e-01        -8.828234e+06        -3.963594e+05        -1.884316e+04        -2.526159e+05        -9.496052e+06       
  9.019303e-01        -9.704702e+06        -4.946584e+05        -2.572123e+04        -3.149148e+05        -1.054000e+07       
  8.921333e-01        -1.065728e+07        -5.418184e+05        -3.361317e+04        -3.446436e+05        -1.157735e+07       
  8.823364e-01        -1.163296e+07        -5.770840e+05        -4.202601e+04        -3.667562e+05        -1.261882e+07       
  8.725394e-01        -1.260954e+07        -6.160943e+05        -5.089464e+04        -3.910878e+05        -1.366762e+07       
  8.627424e-01        -1.358698e+07        -6.589406e+05        -6.027216e+04        -4.176727e+05        -1.472386e+07       
  8.529455e-01        -1.456522e+07        -7.057149e+05        -7.021156e+04        -4.465455e+05        -1.578769e+07       
  8.431485e-01        -1.554423e+07        -7.565093e+05        -8.076600e+04        -4.777405e+05        -1.685925e+07       
  8.333515e-01        -1.652398e+07        -8.114165e+05        -9.198903e+04        -5.112925e+05        -1.793867e+07       
  8.235545e-01        -1.750443e+07        -8.705298e+05        -1.039348e+05        -5.472361e+05        -1.902613e+07       
  8.137576e-01        -1.848556e+07        -9.339431e+05        -1.166584e+05        -5.856063e+05        -2.012177e+07       
  8.039606e-01        -1.946736e+07        -1.001751e+06        -1.302156e+05        -6.264380e+05        -2.122576e+07       
  7.941636e-01        -2.046159e+07        -1.066395e+06        -1.446128e+05        -6.651795e+05        -2.233778e+07       
  7.843667e-01        -2.146632e+07        -1.129628e+06        -1.598177e+05        -7.028979e+05        -2.345867e+07       
  7.745697e-01        -2.247398e+07        -1.196749e+06        -1.758461e+05        -7.427491e+05        -2.458933e+07       
  7.647727e-01        -2.348464e+07        -1.267836e+06        -1.927499e+05        -7.847625e+05        -2.572999e+07       
  7.549758e-01        -2.449835e+07        -1.342974e+06        -2.105822e+05        -8.289679e+05        -2.688087e+07       
  7.451788e-01        -2.551520e+07        -1.422243e+06        -2.293974e+05        -8.753952e+05        -2.804223e+07       
  7.353818e-01        -2.653527e+07        -1.505727e+06        -2.492514e+05        -9.240745e+05        -2.921432e+07       
  7.255848e-01        -2.755864e+07        -1.593511e+06        -2.702016e+05        -9.750358e+05        -3.039739e+07       
  7.157879e-01        -2.851120e+07        -1.734153e+06        -2.926142e+05        -1.056329e+06        -3.159430e+07       
  7.059909e-01        -2.935750e+07        -1.949031e+06        -3.173011e+05        -1.179996e+06        -3.280382e+07       
  6.961939e-01        -3.019213e+07        -2.173750e+06        -3.448026e+05        -1.308775e+06        -3.401946e+07       
  6.863970e-01        -3.101485e+07        -2.408497e+06        -3.752488e+05        -1.442732e+06        -3.524132e+07       
  6.766000e-01        -3.182538e+07        -2.653462e+06        -4.087749e+05        -1.581934e+06        -3.646955e+07       
  6.668030e-01        -3.262348e+07        -2.908836e+06        -4.455207e+05        -1.726447e+06        -3.770428e+07       
  6.570061e-01        -3.340888e+07        -3.174813e+06        -4.856317e+05        -1.876340e+06        -3.894566e+07       
  6.472091e-01        -3.418132e+07        -3.451586e+06        -5.292587e+05        -2.031678e+06        -4.019384e+07       
  6.374121e-01        -3.494054e+07        -3.739352e+06        -5.765581e+05        -2.192531e+06        -4.144898e+07       
  6.276152e-01        -3.568629e+07        -4.038310e+06        -6.276928e+05        -2.358965e+06        -4.271126e+07       
  6.178182e-01        -3.641831e+07        -4.348658e+06        -6.828317e+05        -2.531048e+06        -4.398085e+07       
  6.080212e-01        -3.713635e+07        -4.670596e+06        -7.421508e+05        -2.708848e+06        -4.525795e+07       
  5.982242e-01        -3.784016e+07        -5.004328e+06        -8.058329e+05        -2.892432e+06        -4.654275e+07       
  5.884273e-01        -3.852949e+07        -5.350055e+06        -8.740685e+05        -3.081868e+06        -4.783548e+07       
  5.786303e-01        -3.920409e+07        -5.707982e+06        -9.470559e+05        -3.277223e+06        -4.913635e+07       
  5.688333e-01        -3.986373e+07        -6.078313e+06        -1.025002e+06        -3.478563e+06        -5.044560e+07       
  5.590364e-01        -4.050817e+07        -6.461253e+06        -1.108122e+06        -3.685955e+06        -5.176350e+07       
  5.492394e-01        -4.107432e+07        -6.898297e+06        -1.196900e+06        -3.921740e+06        -5.309126e+07       
  5.394424e-01        -4.084585e+07        -7.858878e+06        -1.295038e+06        -4.437993e+06        -5.443776e+07       
  5.296455e-01        -4.055049e+07        -8.849892e+06        -1.406188e+06        -4.968577e+06        -5.577515e+07       
  5.198485e-01        -4.018665e+07        -9.871826e+06        -1.530898e+06        -5.513646e+06        -5.710302e+07       
  5.100515e-01        -3.975268e+07        -1.092517e+07        -1.669742e+06        -6.073352e+06        -5.842094e+07       
  5.002545e-01        -3.924691e+07        -1.201040e+07        -1.823324e+06        -6.647842e+06        -5.972847e+07       
  4.904576e-01        -3.866760e+07        -1.312800e+07        -1.992278e+06        -7.237262e+06        -6.102514e+07       
  4.806606e-01        -3.801298e+07        -1.427846e+07        -2.177267e+06        -7.841752e+06        -6.231046e+07       
  4.708636e-01        -3.728123e+07        -1.546224e+07        -2.378992e+06        -8.461450e+06        -6.358391e+07       
  4.610667e-01        -3.647047e+07        -1.667981e+07        -2.598187e+06        -9.096484e+06        -6.484495e+07       
  4.512697e-01        -3.557880e+07        -1.793162e+07        -2.835626e+06        -9.746980e+06        -6.609302e+07       
  4.414727e-01        -3.460423e+07        -1.921811e+07        -3.092124e+06        -1.041305e+07        -6.732752e+07       
  4.316758e-01        -3.354475e+07        -2.053973e+07        -3.368541e+06        -1.109481e+07        -6.854783e+07       
  4.218788e-01        -3.210847e+07        -2.208749e+07        -3.667051e+06        -1.189032e+07        -6.975334e+07       
  4.120818e-01        -3.050570e+07        -2.371690e+07        -3.990235e+06        -1.272476e+07        -7.093759e+07       
  4.022848e-01        -2.879234e+07        -2.538873e+07        -4.339518e+06        -1.357783e+07        -7.209841e+07       
  3.924879e-01        -2.696554e+07        -2.710340e+07        -4.716128e+06        -1.444961e+07        -7.323467e+07       
  3.826909e-01        -2.502236e+07        -2.886129e+07        -5.121366e+06        -1.534015e+07        -7.434517e+07       
  3.728939e-01        -2.295979e+07        -3.066274e+07        -5.556615e+06        -1.624948e+07        -7.542863e+07       
  3.630970e-01        -2.077469e+07        -3.250801e+07        -6.023342e+06        -1.717761e+07        -7.648366e+07       
  3.533000e-01        -1.846386e+07        -3.439734e+07        -6.523115e+06        -1.812450e+07        -7.750881e+07       
  3.435030e-01        -1.602399e+07        -3.633084e+07        -7.057600e+06        -1.909009e+07        -7.850252e+07       
  3.337061e-01        -1.345165e+07        -3.830859e+07        -7.628580e+06        -2.007427e+07        -7.946308e+07       
  3.239091e-01        -1.298297e+07        -3.885717e+07        -8.227215e+06        -2.034629e+07        -8.041365e+07       
  3.141121e-01        -1.266819e+07        -3.929693e+07        -8.843032e+06        -2.056358e+07        -8.137173e+07       
  3.043152e-01        -1.233680e+07        -3.974292e+07        -9.476062e+06        -2.078318e+07        -8.233897e+07       
  2.945182e-01        -1.198960e+07        -4.019449e+07        -1.012726e+07        -2.100473e+07        -8.331608e+07       
  2.847212e-01        -1.162755e+07        -4.065083e+07        -1.079763e+07        -2.122785e+07        -8.430387e+07       
  2.749242e-01        -1.125183e+07        -4.111105e+07        -1.148830e+07        -2.145208e+07        -8.530325e+07       
  2.651273e-01        -1.086387e+07        -4.157407e+07        -1.220043e+07        -2.167688e+07        -8.631525e+07       
  2.553303e-01        -1.046538e+07        -4.203864e+07        -1.293533e+07        -2.190166e+07        -8.734101e+07       
  2.455333e-01        -1.005844e+07        -4.250332e+07        -1.369438e+07        -2.212571e+07        -8.838185e+07       
  2.357364e-01        -9.645521e+06        -4.296642e+07        -1.447910e+07        -2.234822e+07        -8.943926e+07       
  2.259394e-01        -9.164231e+06        -4.346889e+07        -1.529153e+07        -2.258883e+07        -9.051348e+07       
  2.161424e-01        -8.584482e+06        -4.402923e+07        -1.613444e+07        -2.285623e+07        -9.160438e+07       
  2.063455e-01        -8.001271e+06        -4.458308e+07        -1.701050e+07        -2.311964e+07        -9.271449e+07       
  1.965485e-01        -7.419379e+06        -4.512716e+07        -1.792208e+07        -2.337752e+07        -9.384614e+07       
  1.867515e-01        -6.844621e+06        -4.565758e+07        -1.887180e+07        -2.362809e+07        -9.500209e+07       
  1.769545e-01        -6.284098e+06        -4.616971e+07        -1.986256e+07        -2.386922e+07        -9.618559e+07       
  1.671576e-01        -5.746512e+06        -4.665798e+07        -2.089764e+07        -2.409836e+07        -9.740049e+07       
  1.573606e-01        -5.242585e+06        -4.711568e+07        -2.198073e+07        -2.431247e+07        -9.865146e+07       
  1.475636e-01        -4.785611e+06        -4.753466e+07        -2.311599e+07        -2.450784e+07        -9.994410e+07       
  1.377667e-01        -4.392205e+06        -4.790494e+07        -2.430820e+07        -2.467996e+07        -1.012853e+08       
  1.279697e-01        -4.083324e+06        -4.821419e+07        -2.556286e+07        -2.482328e+07        -1.026837e+08       
  1.181727e-01        -3.885701e+06        -4.844697e+07        -2.688635e+07        -2.493085e+07        -1.041499e+08       
  1.083758e-01        -2.049435e+06        -4.975024e+07        -2.830099e+07        -2.553143e+07        -1.056321e+08       
  9.857879e-02         0.000000e+00        -5.114566e+07        -2.983647e+07        -2.617282e+07        -1.071549e+08       
  8.878182e-02         0.000000e+00        -5.114566e+07        -3.149359e+07        -2.617282e+07        -1.088121e+08       
  7.898485e-02         0.000000e+00        -5.114566e+07        -3.327271e+07        -2.617282e+07        -1.105912e+08       
  6.918788e-02         0.000000e+00        -5.114566e+07        -3.520027e+07        -2.617282e+07        -1.125187e+08       
  5.939091e-02         0.000000e+00        -5.114566e+07        -3.731313e+07        -2.617282e+07        -1.146316e+08       
  4.959394e-02         0.000000e+00        -5.114566e+07        -3.966505e+07        -2.617282e+07        -1.169835e+08       
  3.979697e-02         0.000000e+00        -5.114566e+07        -4.233965e+07        -2.617282e+07        -1.196581e+08       
  3.000000e-02         0.000000e+00        -5.114566e+07        -4.547937e+07        -2.617282e+07        -1.227978e+08       
