# Sample the curve with 100 points
# Reverse the curve
# Relative humidity    Average pressure     Interface energy     Adsorption energy    Shuttleworth term    Total pressure     
  9.999000e-01        -1.083169e+04         0.000000e+00         0.000000e+00        -1.233900e+03        -1.206559e+04       
  9.901030e-01        -1.064125e+06        -4.434071e+03        -5.798028e+01        -1.353300e+03        -1.069971e+06       
  9.803061e-01        -2.100892e+06        -1.800219e+04        -2.246062e+02        -9.475076e+03        -2.128593e+06       
  9.705091e-01        -3.120247e+06        -4.104386e+04        -7.138659e+02        -2.422291e+04        -3.186227e+06       
  9.607121e-01        -4.121405e+06        -7.389331e+04        -1.678729e+03        -4.550447e+04        -4.242482e+06       
  9.509152e-01        -5.103611e+06        -1.168737e+05        -3.261549e+03        -7.337072e+04        -5.297117e+06       
  9.411182e-01        -6.066126e+06        -1.703009e+05        -5.600176e+03        -1.079102e+05        -6.349937e+06       
  9.313212e-01        -7.008219e+06        -2.344860e+05        -8.830355e+03        -1.492251e+05        -7.400761e+06       
  9.215242e-01        -7.929163e+06        -3.097369e+05        -1.308704e+04        -1.974234e+05        -8.449411e+06       
  9.117273e-01        -8.828234e+06        -3.963594e+05        -1.850525e+04        -2.526159e+05        -9.495714e+06       
  9.019303e-01        -9.704702e+06        -4.946584e+05        -2.522068e+04        -3.149148e+05        -1.053950e+07       
  8.921333e-01        -1.065728e+07        -5.418184e+05        -3.291692e+04        -3.446436e+05        -1.157666e+07       
  8.823364e-01        -1.163296e+07        -5.770840e+05        -4.111715e+04        -3.667562e+05        -1.261792e+07       
  8.725394e-01        -1.260954e+07        -6.160943e+05        -4.975743e+04        -3.910878e+05        -1.366648e+07       
  8.627424e-01        -1.358698e+07        -6.589406e+05        -5.888743e+04        -4.176727e+05        -1.472248e+07       
  8.529455e-01        -1.456522e+07        -7.057149e+05        -6.855655e+04        -4.465455e+05        -1.578603e+07       
  8.431485e-01        -1.554423e+07        -7.565093e+05        -7.881423e+04        -4.777405e+05        -1.685729e+07       
  8.333515e-01        -1.652398e+07        -8.114165e+05        -8.971016e+04        -5.112925e+05        -1.793639e+07       
  8.235545e-01        -1.750443e+07        -8.705298e+05        -1.012945e+05        -5.472361e+05        -1.902349e+07       
  8.137576e-01        -1.848556e+07        -9.339431e+05        -1.136179e+05        -5.856063e+05        -2.011873e+07       
  8.039606e-01        -1.946736e+07        -1.001751e+06        -1.267320e+05        -6.264380e+05        -2.122228e+07       
  7.941636e-01        -2.046159e+07        -1.066395e+06        -1.406414e+05        -6.651795e+05        -2.233381e+07       
  7.843667e-01        -2.146632e+07        -1.129628e+06        -1.553148e+05        -7.028979e+05        -2.345416e+07       
  7.745697e-01        -2.247398e+07        -1.196749e+06        -1.707658e+05        -7.427491e+05        -2.458425e+07       
  7.647727e-01        -2.348464e+07        -1.267836e+06        -1.870418e+05        -7.847625e+05        -2.572428e+07       
  7.549758e-01        -2.449835e+07        -1.342974e+06        -2.041913e+05        -8.289679e+05        -2.687448e+07       
  7.451788e-01        -2.551520e+07        -1.422243e+06        -2.222639e+05        -8.753952e+05        -2.803510e+07       
  7.353818e-01        -2.653527e+07        -1.505727e+06        -2.413104e+05        -9.240745e+05        -2.920638e+07       
  7.255848e-01        -2.755864e+07        -1.593511e+06        -2.613829e+05        -9.750358e+05        -3.038857e+07       
  7.157879e-01        -2.851120e+07        -1.734153e+06        -2.828188e+05        -1.056329e+06        -3.158450e+07       
  7.059909e-01        -2.935750e+07        -1.949031e+06        -3.063656e+05        -1.179996e+06        -3.279289e+07       
  6.961939e-01        -3.019213e+07        -2.173750e+06        -3.325196e+05        -1.308775e+06        -3.400718e+07       
  6.863970e-01        -3.101485e+07        -2.408497e+06        -3.613982e+05        -1.442732e+06        -3.522747e+07       
  6.766000e-01        -3.182538e+07        -2.653462e+06        -3.931229e+05        -1.581934e+06        -3.645390e+07       
  6.668030e-01        -3.262348e+07        -2.908836e+06        -4.278198e+05        -1.726447e+06        -3.768658e+07       
  6.570061e-01        -3.340888e+07        -3.174813e+06        -4.656195e+05        -1.876340e+06        -3.892565e+07       
  6.472091e-01        -3.418132e+07        -3.451586e+06        -5.066573e+05        -2.031678e+06        -4.017124e+07       
  6.374121e-01        -3.494054e+07        -3.739352e+06        -5.510738e+05        -2.192531e+06        -4.142350e+07       
  6.276152e-01        -3.568629e+07        -4.038310e+06        -5.990148e+05        -2.358965e+06        -4.268258e+07       
  6.178182e-01        -3.641831e+07        -4.348658e+06        -6.506318e+05        -2.531048e+06        -4.394865e+07       
  6.080212e-01        -3.713635e+07        -4.670596e+06        -7.060822e+05        -2.708848e+06        -4.522188e+07       
  5.982242e-01        -3.784016e+07        -5.004328e+06        -7.655296e+05        -2.892432e+06        -4.650245e+07       
  5.884273e-01        -3.852949e+07        -5.350055e+06        -8.291444e+05        -3.081868e+06        -4.779055e+07       
  5.786303e-01        -3.920409e+07        -5.707982e+06        -8.971037e+05        -3.277223e+06        -4.908640e+07       
  5.688333e-01        -3.986373e+07        -6.078313e+06        -9.695925e+05        -3.478563e+06        -5.039019e+07       
  5.590364e-01        -4.050817e+07        -6.461253e+06        -1.046803e+06        -3.685955e+06        -5.170218e+07       
  5.492394e-01        -4.107432e+07        -6.898297e+06        -1.129168e+06        -3.921740e+06        -5.302353e+07       
  5.394424e-01        -4.084585e+07        -7.858878e+06        -1.219998e+06        -4.437993e+06        -5.436272e+07       
  5.296455e-01        -4.055049e+07        -8.849892e+06        -1.322554e+06        -4.968577e+06        -5.569152e+07       
  5.198485e-01        -4.018665e+07        -9.871826e+06        -1.437325e+06        -5.513646e+06        -5.700945e+07       
  5.100515e-01        -3.975268e+07        -1.092517e+07        -1.564821e+06        -6.073352e+06        -5.831602e+07       
  5.002545e-01        -3.924691e+07        -1.201040e+07        -1.705579e+06        -6.647842e+06        -5.961073e+07       
  4.904576e-01        -3.866760e+07        -1.312800e+07        -1.860161e+06        -7.237262e+06        -6.089303e+07       
  4.806606e-01        -3.801298e+07        -1.427846e+07        -2.029158e+06        -7.841752e+06        -6.216235e+07       
  4.708636e-01        -3.728123e+07        -1.546224e+07        -2.213191e+06        -8.461450e+06        -6.341811e+07       
  4.610667e-01        -3.647047e+07        -1.667981e+07        -2.412913e+06        -9.096484e+06        -6.465968e+07       
  4.512697e-01        -3.557880e+07        -1.793162e+07        -2.629012e+06        -9.746980e+06        -6.588641e+07       
  4.414727e-01        -3.460423e+07        -1.921811e+07        -2.862212e+06        -1.041305e+07        -6.709761e+07       
  4.316758e-01        -3.354475e+07        -2.053973e+07        -3.113279e+06        -1.109481e+07        -6.829256e+07       
  4.218788e-01        -3.210847e+07        -2.208749e+07        -3.384129e+06        -1.189032e+07        -6.947042e+07       
  4.120818e-01        -3.050570e+07        -2.371690e+07        -3.677038e+06        -1.272476e+07        -7.062439e+07       
  4.022848e-01        -2.879234e+07        -2.538873e+07        -3.993270e+06        -1.357783e+07        -7.175216e+07       
  3.924879e-01        -2.696554e+07        -2.710340e+07        -4.333916e+06        -1.444961e+07        -7.285246e+07       
